wmpid,full_name,opponents,opponent_names
WMPID2996,Gary Buchanan,WMPID1739|WMPID2752|WMPID1677|WMPID902,Sam Rankin|Curt Andrew Sr. Zygmond|Penny Ronning|Gary Buchanan|Matt Rosendale
WMPID813,Eshan Patel,WMPID405|WMPID1782,Sandy Smith|Eshan Patel|Don Davis
WMPID1782,Don Davis,WMPID405|WMPID813,Sandy Smith|Eshan Patel|Don Davis
WMPID4687,Barbara Gaskins,WMPID406,Greg Murphy|Barbara Gaskins
WMPID2787,Robert Benjamin III Clark,WMPID3128|WMPID3251,Robert Benjamin III Clark|Valerie Foushee|Courtney Joele Geels
WMPID3526,Robert Hines,WMPID3923,Robert Hines|Wiley Nickel
WMPID3128,Valerie Foushee,WMPID2787|WMPID3251,Robert Benjamin III Clark|Valerie Foushee|Courtney Joele Geels
WMPID814,David Rouzer,WMPID2840,David Rouzer|Charles Graham
WMPID2802,Robert Christian Castelli,WMPID1170,Robert Christian Castelli|Kathy Manning
WMPID4447,Bernard Kyle Parrish,WMPID904,Bernard Kyle Parrish|Virginia Foxx
WMPID815,Richard Hudson,,Richard Hudson
WMPID1727,Christine Villaverde,WMPID402,Deborah Ross|Christine Villaverde
WMPID2840,Charles Graham,WMPID814,David Rouzer|Charles Graham
WMPID3753,Jasmine Beach-Ferrara,WMPID2149|WMPID4128,Jasmine Beach-Ferrara|David Adam Coatney|Chuck Edwards
WMPID2149,David Adam Coatney,WMPID3753|WMPID4128,Jasmine Beach-Ferrara|David Adam Coatney|Chuck Edwards
WMPID1915,Tyler Lee,WMPID906,Tyler Lee|Alma Adams
WMPID3251,Courtney Joele Geels,WMPID2787|WMPID3128,Robert Benjamin III Clark|Valerie Foushee|Courtney Joele Geels
WMPID2134,Pamela Genant,WMPID905,Pamela Genant|Patrick McHenry
WMPID2141,Pat Harrigan,WMPID2166,Pat Harrigan|Jeff Jackson
WMPID3923,Wiley Nickel,WMPID3526,Robert Hines|Wiley Nickel
WMPID4128,Chuck Edwards,WMPID3753|WMPID2149,Jasmine Beach-Ferrara|David Adam Coatney|Chuck Edwards
WMPID2166,Jeff Jackson,WMPID2141,Pat Harrigan|Jeff Jackson
WMPID2318,Mark Haugen,WMPID5103|WMPID1171,Mark Haugen|Cara Mund|Kelly Armstrong
WMPID5103,Cara Mund,WMPID2318|WMPID1171,Mark Haugen|Cara Mund|Kelly Armstrong
WMPID1606,Patty Pansing Brooks,WMPID2875|WMPID2175,Patty Pansing Brooks|Mike Flood|Daniel Fred Weyer
WMPID2875,Mike Flood,WMPID1606|WMPID2175,Patty Pansing Brooks|Mike Flood|Daniel Fred Weyer
WMPID2175,Daniel Fred Weyer,WMPID1606|WMPID2875,Patty Pansing Brooks|Mike Flood|Daniel Fred Weyer
WMPID4441,Tony Vargas,WMPID997,Tony Vargas|Don Bacon
WMPID1898,Robert Andrew Burns,WMPID436|WMPID3998|WMPID4345|WMPID4495|WMPID3463|WMPID4037|WMPID1937|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID3004,Karoline Leavitt,WMPID1173,Karoline Leavitt|Chris Pappas
WMPID3998,William Michael Bryk,WMPID436|WMPID1898|WMPID4345|WMPID4495|WMPID3463|WMPID4037|WMPID1937|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID4345,Dean Allan Poirier,WMPID436|WMPID1898|WMPID3998|WMPID4495|WMPID3463|WMPID4037|WMPID1937|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID4495,Jeffrey Greeson,WMPID436|WMPID1898|WMPID3998|WMPID4345|WMPID3463|WMPID4037|WMPID1937|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID3463,Jeff Cozzens,WMPID436|WMPID1898|WMPID3998|WMPID4345|WMPID4495|WMPID4037|WMPID1937|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID4037,Jason Daniel Riddle,WMPID436|WMPID1898|WMPID3998|WMPID4345|WMPID4495|WMPID3463|WMPID1937|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID1937,Lily Tang Williams,WMPID436|WMPID1898|WMPID3998|WMPID4345|WMPID4495|WMPID3463|WMPID4037|WMPID3349|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID3349,Scott Black,WMPID436|WMPID1898|WMPID3998|WMPID4345|WMPID4495|WMPID3463|WMPID4037|WMPID1937|WMPID4854|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID4854,George Hansel,WMPID436|WMPID1898|WMPID3998|WMPID4345|WMPID4495|WMPID3463|WMPID4037|WMPID1937|WMPID3349|WMPID999|WMPID4938,Ann Kuster|Robert Andrew Burns|William Michael Bryk|Dean Allan Poirier|Jeffrey Greeson|Jeff Cozzens|Jason Daniel Riddle|Lily Tang Williams|Scott Black|George Hansel|Michael Callis|Jay Mercer
WMPID3909,Charles Park,WMPID2335|WMPID2680|WMPID908|WMPID909|WMPID5114,Charles Park|Patricia Kline|Isaiah Fletcher|Don Norcross|Claire Gustafson|Allen Cannon
WMPID2335,Patricia Kline,WMPID3909|WMPID2680|WMPID908|WMPID909|WMPID5114,Charles Park|Patricia Kline|Isaiah Fletcher|Don Norcross|Claire Gustafson|Allen Cannon
WMPID2680,Isaiah Fletcher,WMPID3909|WMPID2335|WMPID908|WMPID909|WMPID5114,Charles Park|Patricia Kline|Isaiah Fletcher|Don Norcross|Claire Gustafson|Allen Cannon
WMPID2332,Timothy Alexander,WMPID3409|WMPID1177|WMPID5145,Timothy Alexander|Michael Gallo|Jeff Van Drew|Anthony Parisi Sanchez
WMPID3409,Michael Gallo,WMPID2332|WMPID1177|WMPID5145,Timothy Alexander|Michael Gallo|Jeff Van Drew|Anthony Parisi Sanchez
WMPID2027,Robert Jr Healey,WMPID4135|WMPID4836|WMPID1179,Robert Jr Healey|Christopher Russomanno|Gregory Sobocinski|Andy Kim
WMPID4135,Christopher Russomanno,WMPID2027|WMPID4836|WMPID1179,Robert Jr Healey|Christopher Russomanno|Gregory Sobocinski|Andy Kim
WMPID4836,Gregory Sobocinski,WMPID2027|WMPID4135|WMPID1179,Robert Jr Healey|Christopher Russomanno|Gregory Sobocinski|Andy Kim
WMPID2470,Matthew Jenkins,WMPID3400|WMPID5074|WMPID5123|WMPID1180,Matthew Jenkins|Jason Cullen Cullen|Pamela Renee Daniels|Hank Schroeder|Chris Smith
WMPID3400,Jason Cullen Cullen,WMPID2470|WMPID5074|WMPID5123|WMPID1180,Matthew Jenkins|Jason Cullen Cullen|Pamela Renee Daniels|Hank Schroeder|Chris Smith
WMPID5074,Pamela Renee Daniels,WMPID2470|WMPID3400|WMPID5123|WMPID1180,Matthew Jenkins|Jason Cullen Cullen|Pamela Renee Daniels|Hank Schroeder|Chris Smith
WMPID4971,Trevor James Ferrigno,WMPID443|WMPID5141|WMPID5160|WMPID1000,Frank Pallotta|Louis Vellucci|Trevor James Ferrigno|Jeremy Marcus|Josh Gottheimer
WMPID1577,Susan Kiley,WMPID1632|WMPID1178,Susan Kiley|Tara Lynn Fisher|Frank Pallone Jr.
WMPID1632,Tara Lynn Fisher,WMPID1577|WMPID1178,Susan Kiley|Tara Lynn Fisher|Frank Pallone Jr.
WMPID1410,Veronica Fernandez,WMPID444|WMPID4190|WMPID3925|WMPID1181,Tom Kean|Veronica Fernandez|Harsh Naik|Clayton Pajunas|Tom Malinowski
WMPID4190,Harsh Naik,WMPID444|WMPID1410|WMPID3925|WMPID1181,Tom Kean|Veronica Fernandez|Harsh Naik|Clayton Pajunas|Tom Malinowski
WMPID3925,Clayton Pajunas,WMPID444|WMPID1410|WMPID4190|WMPID1181,Tom Kean|Veronica Fernandez|Harsh Naik|Clayton Pajunas|Tom Malinowski
WMPID5132,Pablo Olivera,WMPID1515|WMPID2146|WMPID4755,Pablo Olivera|Robert Menendez|Dan Delaney|Marcos Arroyo
WMPID1515,Robert Menendez,WMPID5132|WMPID2146|WMPID4755,Pablo Olivera|Robert Menendez|Dan Delaney|Marcos Arroyo
WMPID2146,Dan Delaney,WMPID5132|WMPID1515|WMPID4755,Pablo Olivera|Robert Menendez|Dan Delaney|Marcos Arroyo
WMPID4755,Marcos Arroyo,WMPID5132|WMPID1515|WMPID2146,Pablo Olivera|Robert Menendez|Dan Delaney|Marcos Arroyo
WMPID2490,Sean Armstrong Armstrong,WMPID447|WMPID1001,Billy Prempeh|Sean Armstrong Armstrong|Bill Pascrell Jr.
WMPID816,Donald M Payne Jr.,WMPID2665|WMPID2874,David Pinckney|Donald M Payne Jr.|Kendal Ludden
WMPID2874,Kendal Ludden,WMPID2665|WMPID816,David Pinckney|Donald M Payne Jr.|Kendal Ludden
WMPID2459,Paul Degroot,WMPID2287|WMPID3468|WMPID1182,Paul Degroot|Kevin Mccormick|Joseph Nicholas Biasco|Mikie Sherrill
WMPID2287,Kevin Mccormick,WMPID2459|WMPID3468|WMPID1182,Paul Degroot|Kevin Mccormick|Joseph Nicholas Biasco|Mikie Sherrill
WMPID3468,Joseph Nicholas Biasco,WMPID2459|WMPID2287|WMPID1182,Paul Degroot|Kevin Mccormick|Joseph Nicholas Biasco|Mikie Sherrill
WMPID1573,Darius Mayfield,WMPID910,Darius Mayfield|Bonnie Coleman
WMPID3359,Melanie Stansbury,WMPID451|WMPID4714,Michelle Garcia Holmes|Melanie Stansbury|Cameron Alton Sr Chick
WMPID4714,Cameron Alton Sr Chick,WMPID451|WMPID3359,Michelle Garcia Holmes|Melanie Stansbury|Cameron Alton Sr Chick
WMPID4014,Gabriel Vasquez,WMPID1184,Gabriel Vasquez|Yvette Herrell
WMPID2867,Alexis Martinez Johnson,WMPID453,Teresa Leger|Alexis Martinez Johnson
WMPID3760,David Brog,WMPID2001|WMPID2081|WMPID1187,David Brog|Mark Robertson|Carolina Serrano|Dina Titus
WMPID818,Mark Amodei,WMPID2657|WMPID4785,Russell Best|Mark Amodei|E M Krause
WMPID4785,E M Krause,WMPID2657|WMPID818,Russell Best|Mark Amodei|E M Krause
WMPID2001,Mark Robertson,WMPID3760|WMPID2081|WMPID1187,David Brog|Mark Robertson|Carolina Serrano|Dina Titus
WMPID3178,April Becker,WMPID3951|WMPID1003,April Becker|Robert Bruce Morris|Susie Lee
WMPID3951,Robert Bruce Morris,WMPID3178|WMPID1003,April Becker|Robert Bruce Morris|Susie Lee
WMPID819,Steven Horsford,WMPID2734|WMPID3186,Samuel James Peters|Steven Horsford|John Johnson
WMPID3186,John Johnson,WMPID2734|WMPID819,Samuel James Peters|Steven Horsford|John Johnson
WMPID2081,Carolina Serrano,WMPID3760|WMPID2001|WMPID1187,David Brog|Mark Robertson|Carolina Serrano|Dina Titus
WMPID820,Nydia M Velazquez,WMPID4960|WMPID2115,Paperboy Prince|Nydia M Velazquez|Juan Pagan
WMPID3519,Robert Michael Cornicelli,WMPID470|WMPID471|WMPID4675,Jackie Gordon|Andrew Garbarino|Robert Michael Cornicelli|Mike Rakebrandt
WMPID4133,Yan Xiong,WMPID506|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID2494,Anthony Figliola,WMPID2343|WMPID3959|WMPID4184,Bridget Fleming|Anthony Figliola|Lalota Nick|Michelle Bond
WMPID3959,Lalota Nick,WMPID2343|WMPID2494|WMPID4184,Bridget Fleming|Anthony Figliola|Lalota Nick|Michelle Bond
WMPID4184,Michelle Bond,WMPID2343|WMPID2494|WMPID3959,Bridget Fleming|Anthony Figliola|Lalota Nick|Michelle Bond
WMPID1676,Md Muzibul Huq,WMPID1963|WMPID3007|WMPID2482|WMPID1576,Md Muzibul Huq|CarriÃ Solages|Laura Gillen|Keith Corbett|Anthony Desposito
WMPID4675,Mike Rakebrandt,WMPID470|WMPID471|WMPID3519,Jackie Gordon|Andrew Garbarino|Robert Michael Cornicelli|Mike Rakebrandt
WMPID1826,Navjot Pal Kaur,WMPID2364|WMPID475|WMPID3216|WMPID2299|WMPID4707|WMPID2781,Melanie D'Arrigo|George Devolder-Santos|Navjot Pal Kaur|Reema Rasool|Joshua Lafazan|Jon Kaiman|Robert Zimmerman
WMPID3216,Reema Rasool,WMPID2364|WMPID475|WMPID1826|WMPID2299|WMPID4707|WMPID2781,Melanie D'Arrigo|George Devolder-Santos|Navjot Pal Kaur|Reema Rasool|Joshua Lafazan|Jon Kaiman|Robert Zimmerman
WMPID2299,Joshua Lafazan,WMPID2364|WMPID475|WMPID1826|WMPID3216|WMPID4707|WMPID2781,Melanie D'Arrigo|George Devolder-Santos|Navjot Pal Kaur|Reema Rasool|Joshua Lafazan|Jon Kaiman|Robert Zimmerman
WMPID4707,Jon Kaiman,WMPID2364|WMPID475|WMPID1826|WMPID3216|WMPID2299|WMPID2781,Melanie D'Arrigo|George Devolder-Santos|Navjot Pal Kaur|Reema Rasool|Joshua Lafazan|Jon Kaiman|Robert Zimmerman
WMPID2781,Robert Zimmerman,WMPID2364|WMPID475|WMPID1826|WMPID3216|WMPID2299|WMPID4707,Melanie D'Arrigo|George Devolder-Santos|Navjot Pal Kaur|Reema Rasool|Joshua Lafazan|Jon Kaiman|Robert Zimmerman
WMPID3990,Alessandra Biaggi,WMPID1866|WMPID3956|WMPID5092|WMPID827,Alessandra Biaggi|Jack Schrepel|Michael Vincent Lawler|Shoshana David|Sean Patrick Maloney
WMPID1963,CarriÃ Solages,WMPID1676|WMPID3007|WMPID2482|WMPID1576,Md Muzibul Huq|CarriÃ Solages|Laura Gillen|Keith Corbett|Anthony Desposito
WMPID3007,Laura Gillen,WMPID1676|WMPID1963|WMPID2482|WMPID1576,Md Muzibul Huq|CarriÃ Solages|Laura Gillen|Keith Corbett|Anthony Desposito
WMPID2482,Keith Corbett,WMPID1676|WMPID1963|WMPID3007|WMPID1576,Md Muzibul Huq|CarriÃ Solages|Laura Gillen|Keith Corbett|Anthony Desposito
WMPID1576,Anthony Desposito,WMPID1676|WMPID1963|WMPID3007|WMPID2482,Md Muzibul Huq|CarriÃ Solages|Laura Gillen|Keith Corbett|Anthony Desposito
WMPID3210,Nader Akhlaghy,WMPID4583|WMPID1190,Nader Akhlaghy|Paul King|Gregory W Meeks
WMPID4583,Paul King,WMPID3210|WMPID1190,Nader Akhlaghy|Paul King|Gregory W Meeks
WMPID821,Grace Meng,WMPID480,Thomas Zmich|Grace Meng
WMPID2115,Juan Pagan,WMPID4960|WMPID820,Paperboy Prince|Nydia M Velazquez|Juan Pagan
WMPID2260,Queen Johnson,WMPID2702|WMPID2743|WMPID822,Queen Johnson|Brian Matthew Mannix|Yuri Dashevsky|Hakeem Jeffries
WMPID2702,Brian Matthew Mannix,WMPID2260|WMPID2743|WMPID822,Queen Johnson|Brian Matthew Mannix|Yuri Dashevsky|Hakeem Jeffries
WMPID2743,Yuri Dashevsky,WMPID2260|WMPID2702|WMPID822,Queen Johnson|Brian Matthew Mannix|Yuri Dashevsky|Hakeem Jeffries
WMPID5104,Menachem Raitport,WMPID915,Menachem Raitport|Yvette D Clarke
WMPID822,Hakeem Jeffries,WMPID2260|WMPID2702|WMPID2743,Queen Johnson|Brian Matthew Mannix|Yuri Dashevsky|Hakeem Jeffries
WMPID4353,Ashmi Sheth,WMPID506|WMPID4133|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID2259,Benine Hamdan,WMPID506|WMPID4133|WMPID4353|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID4027,Brian Jeffrey Robinson,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID3101,Brad Hoylman,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID3209,Yuh-Line Niou,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID2477,Jo Anne Simon,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID4575,Jimmy Jiang Li,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID3801,Bill De Blasio,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3727|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID3727,Matthew Spencer Goldstein,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID2580|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID2580,Daniel Goldman,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID3790|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID3790,Elizabeth Holtzman,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID1875|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID1875,Carlina Rivera,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID4939,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID4939,Quanda Francis,WMPID506|WMPID4133|WMPID4353|WMPID2259|WMPID4027|WMPID3101|WMPID3209|WMPID2477|WMPID4575|WMPID3801|WMPID3727|WMPID2580|WMPID3790|WMPID1875,Mondaire Jones|Yan Xiong|Ashmi Sheth|Benine Hamdan|Brian Jeffrey Robinson|Brad Hoylman|Yuh-Line Niou|Jo Anne Simon|Jimmy Jiang Li|Bill De Blasio|Matthew Spencer Goldstein|Daniel Goldman|Elizabeth Holtzman|Carlina Rivera|Quanda Francis
WMPID4324,Brittany Ramos Debarros,WMPID489|WMPID1191|WMPID3424|WMPID3272,Nicole Malliotakis|Brittany Ramos Debarros|Max Rose|John Matland|Komi Agoda-Koussema
WMPID1191,Max Rose,WMPID489|WMPID4324|WMPID3424|WMPID3272,Nicole Malliotakis|Brittany Ramos Debarros|Max Rose|John Matland|Komi Agoda-Koussema
WMPID3424,John Matland,WMPID489|WMPID4324|WMPID1191|WMPID3272,Nicole Malliotakis|Brittany Ramos Debarros|Max Rose|John Matland|Komi Agoda-Koussema
WMPID3272,Komi Agoda-Koussema,WMPID489|WMPID4324|WMPID1191|WMPID3424,Nicole Malliotakis|Brittany Ramos Debarros|Max Rose|John Matland|Komi Agoda-Koussema
WMPID1771,Michael Zumbluskas,WMPID4765|WMPID4824|WMPID824|WMPID825|WMPID3759,Michael Zumbluskas|Mikhail Itkis|Gil Obler|Carolyn B Maloney|Jerrold Nadler|Suraj Patel
WMPID4765,Mikhail Itkis,WMPID1771|WMPID4824|WMPID824|WMPID825|WMPID3759,Michael Zumbluskas|Mikhail Itkis|Gil Obler|Carolyn B Maloney|Jerrold Nadler|Suraj Patel
WMPID4824,Gil Obler,WMPID1771|WMPID4765|WMPID824|WMPID825|WMPID3759,Michael Zumbluskas|Mikhail Itkis|Gil Obler|Carolyn B Maloney|Jerrold Nadler|Suraj Patel
WMPID823,Adriano Espaillat,WMPID2403|WMPID4945,Adriano Espaillat|Tyrrell Lev Ben-Avi|Odell Malcolm Patterson
WMPID2403,Tyrrell Lev Ben-Avi,WMPID823|WMPID4945,Adriano Espaillat|Tyrrell Lev Ben-Avi|Odell Malcolm Patterson
WMPID4945,Odell Malcolm Patterson,WMPID823|WMPID2403,Adriano Espaillat|Tyrrell Lev Ben-Avi|Odell Malcolm Patterson
WMPID824,Carolyn B Maloney,WMPID1771|WMPID4765|WMPID4824|WMPID825|WMPID3759,Michael Zumbluskas|Mikhail Itkis|Gil Obler|Carolyn B Maloney|Jerrold Nadler|Suraj Patel
WMPID3577,Desi Cuellar,WMPID3560|WMPID2683|WMPID1193,Desi Cuellar|Tina Forte|Hasime Samanthas. Zherka|Alexandria Ocasio-Cortez
WMPID3560,Tina Forte,WMPID3577|WMPID2683|WMPID1193,Desi Cuellar|Tina Forte|Hasime Samanthas. Zherka|Alexandria Ocasio-Cortez
WMPID2683,Hasime Samanthas. Zherka,WMPID3577|WMPID3560|WMPID1193,Desi Cuellar|Tina Forte|Hasime Samanthas. Zherka|Alexandria Ocasio-Cortez
WMPID1755,Vedat Gashi,WMPID505|WMPID2080|WMPID4823|WMPID5106|WMPID4955,Jamaal Bowman|Vedat Gashi|William Faulkner|Mark Jaffe|Miriam Levitt Flisser|John Ciampoli
WMPID2080,William Faulkner,WMPID505|WMPID1755|WMPID4823|WMPID5106|WMPID4955,Jamaal Bowman|Vedat Gashi|William Faulkner|Mark Jaffe|Miriam Levitt Flisser|John Ciampoli
WMPID4823,Mark Jaffe,WMPID505|WMPID1755|WMPID2080|WMPID5106|WMPID4955,Jamaal Bowman|Vedat Gashi|William Faulkner|Mark Jaffe|Miriam Levitt Flisser|John Ciampoli
WMPID5106,Miriam Levitt Flisser,WMPID505|WMPID1755|WMPID2080|WMPID4823|WMPID4955,Jamaal Bowman|Vedat Gashi|William Faulkner|Mark Jaffe|Miriam Levitt Flisser|John Ciampoli
WMPID825,Jerrold Nadler,WMPID1771|WMPID4765|WMPID4824|WMPID824|WMPID3759,Michael Zumbluskas|Mikhail Itkis|Gil Obler|Carolyn B Maloney|Jerrold Nadler|Suraj Patel
